13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [LUPO], valorSolicitud: [LUPOS], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [LUPOS], valorSolicitud: [LUPO], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [XX], valorSolicitud: [], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [PRIOTEASA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [MADIH], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [NAVEED], valorSolicitud: [ADNAN], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [ADNAN], valorSolicitud: [NAVEED], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [SANCHEZ-MONTERO], valorSolicitud: [SANCHEZ MONTERO], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [FRANCISCO J.], valorSolicitud: [FCO. JAVIER], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [LEA], valorSolicitud: [LEAL], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [JUAN M.], valorSolicitud: [JUAN MANUEL], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [X], valorSolicitud: [], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MELANI], valorSolicitud: [MELANI MIROSLAVOVA], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MIROSLAVOVA], valorSolicitud: [MEMISHEVA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [---], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [BARREIRO], valorSolicitud: [BARREIRO MALEK], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MALEK], valorSolicitud: [], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [VICTOR], valorSolicitud: [VICTOR MANUEL], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MAFLA], valorSolicitud: [QUIROZ], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [QUIROZ], valorSolicitud: [MAFLA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [ZULEVIA DEL V.], valorSolicitud: [ZULEVIA], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MARIA SALOME], valorSolicitud: [MARIA  SALOME], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [KHOUYA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [BALLESTEROS], valorSolicitud: [BLAZQUEZ], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [IRENE], valorSolicitud: [IRENE VERALY], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [NETO], valorSolicitud: [DA SILVA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [XX], valorSolicitud: [], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [MUGHAL], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [ASEN], valorSolicitud: [ASEN HRISTOV], esAproximadaCadena: true
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [HRISTOV], valorSolicitud: [YORDANOV], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [YORDANOV], valorSolicitud: [], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [YON MARTIN], valorSolicitud: [JON MARTIN], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [M DOLORES], valorSolicitud: [MARIA DOLORES], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [EL BAKHTY], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [BUALUAN], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [CRISTINA-INES], valorSolicitud: [CRISTINA INES], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MARIA PILAR], valorSolicitud: [MARIA DEL PILAR], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [CIRESESCU], valorSolicitud: [TUDOSA], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [---], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [M CARMEN], valorSolicitud: [MARIA CARMEN], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [GALLOSO], valorSolicitud: [GAYOSO], esAproximadaCadena: false
13/may/2022 08:13:48 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [EL BAKHTY], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MOSUERA], valorSolicitud: [MOSQUERA], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [MOICA ALEXANDRA], valorSolicitud: [MONICA ALEXANDRA], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [CASTRO], valorSolicitud: [CASTRO PINTO], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [XX], valorSolicitud: [], esAproximadaCadena: true
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [CATANIA], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [], valorSolicitud: [---], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [JIMENEZ], valorSolicitud: [GIMENEZ], esAproximadaCadena: false
13/may/2022 08:13:49 DEBUG Info.getInfoXmlBusquedaAproximada:402 - ---------------%% valorAnterior: [ANTONIA], valorSolicitud: [ANTONIA MARIA], esAproximadaCadena: true
