13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: VARELA, cadenaComparar: VARELA PORRAS, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: PORRAS, cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: RUBIA, cadenaComparar: RUBIO, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: VARELA PORRAS, cadenaComparar: VARELA, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: PORRAS, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: OFOLETE, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: NUEZ, cadenaComparar: NUEZ RUIZ, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: RUIZ, cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: MARIA SOCORRO, cadenaComparar: SOCORRO, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: BAGHDADI, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: SIMSEK, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: PETRA M, cadenaComparar: PETRA, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: PIA, cadenaComparar: PIA, borrarLetraN:  true
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: TEODULO, cadenaComparar: TEODULO MANUEL, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: NOMBRE, cadenaComparar: NOMBRE, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: FOKEEVA, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: AKOUH, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ISABEL, cadenaComparar: MARIA ISABEL, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: FREDERICK E., cadenaComparar: FREDERICK-E., borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: OUALI, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ANA, cadenaComparar: ANA MARIA, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: MARIA CARMEN, cadenaComparar: MARIA DEL CARMEN, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: REDECILLAS, cadenaComparar: REDECILLA, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: GARCIA, cadenaComparar: RODRIGUEZ, borrarLetraN:  false
13/may/2022 08:13:42 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ISAAC HELIAN, cadenaComparar: ISAAC ELIAN, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: NOMBRE, cadenaComparar: NOMBRE, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: ---, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: ---, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: MHANNA, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: M LEONOR, cadenaComparar: MARIA LEONOR, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: LOZADA, cadenaComparar: LOZADA ARIAS, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ARIAS, cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: JOSE C, cadenaComparar: JOSE CARLOS, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: GROUDI, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: VENEGAS, cadenaComparar: BENEGAS, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: MARIA ANGELES, cadenaComparar: MARIA DE LOS ANGELES, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ARANTXA, cadenaComparar: ARANZAZU, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: PSHENYCHINA, cadenaComparar: PSHENYCHNA, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: RAMIREZ, cadenaComparar: RAMIREZ AMARO, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: AMARO, cadenaComparar: , borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: ALBERTO, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ISABELLA, cadenaComparar: ISABELLA NOEMI, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ANTXON, cadenaComparar: ANTXON MARI, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: HOGNOGIU, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: EZQUERRO, cadenaComparar: EZKERRO, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: AMEZTOY, cadenaComparar: AMEZTOI, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: NOMBRE, cadenaComparar: NOMBRE, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: ALBIZU, cadenaComparar: ALBISU, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: NOOR, cadenaComparar: NOUR, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: , cadenaComparar: NOUKI, borrarLetraN:  false
13/may/2022 08:13:43 HCD_REPOR ERROR sns.busqueda.model.BusquedaAproximadaHelper:529 - cadena: CASAS, cadenaComparar: CASAS I, borrarLetraN:  false
